store_num,year,week,p1_sales,p2_sales,p1_price,p2_price,p1_promo,p2_promo,country
101.0,1.0,1.0,115.0,114.0,2.79,2.59,0,0,USA
101.0,1.0,2.0,131.0,87.0,2.49,2.49,0,0,USA
101.0,1.0,3.0,176.0,74.0,2.29,3.19,0,0,USA
101.0,1.0,4.0,125.0,115.0,2.19,2.29,0,0,USA
101.0,1.0,5.0,114.0,120.0,2.99,2.49,0,0,USA
101.0,1.0,6.0,135.0,108.0,2.49,2.59,0,0,USA
101.0,1.0,7.0,171.0,78.0,2.79,3.19,1,0,USA
101.0,1.0,8.0,108.0,104.0,2.79,2.99,0,0,USA
101.0,1.0,9.0,128.0,83.0,2.79,2.99,0,0,USA
101.0,1.0,10.0,152.0,79.0,2.19,2.99,0,0,USA
101.0,1.0,11.0,134.0,140.0,2.49,2.59,0,1,USA
101.0,1.0,12.0,95.0,126.0,2.99,2.49,0,0,USA
101.0,1.0,13.0,113.0,74.0,2.29,2.59,0,0,USA
101.0,1.0,14.0,129.0,157.0,2.29,2.49,0,1,USA
101.0,1.0,15.0,168.0,58.0,2.19,3.19,0,0,USA
101.0,1.0,16.0,147.0,98.0,2.29,2.49,0,0,USA
101.0,1.0,17.0,152.0,110.0,2.29,2.59,0,1,USA
101.0,1.0,18.0,107.0,107.0,2.79,2.49,0,0,USA
101.0,1.0,19.0,112.0,87.0,2.79,2.59,0,0,USA
101.0,1.0,20.0,145.0,79.0,2.19,2.59,0,0,USA
101.0,1.0,21.0,106.0,183.0,2.99,2.49,0,1,USA
101.0,1.0,22.0,190.0,75.0,2.29,3.19,0,0,USA
101.0,1.0,23.0,125.0,82.0,2.29,2.59,0,0,USA
101.0,1.0,24.0,145.0,73.0,2.19,2.59,0,0,USA
101.0,1.0,25.0,122.0,112.0,2.19,2.29,0,0,USA
101.0,1.0,26.0,148.0,85.0,2.49,2.99,0,0,USA
101.0,1.0,27.0,130.0,93.0,2.79,3.19,0,0,USA
101.0,1.0,28.0,110.0,179.0,2.99,2.49,0,1,USA
101.0,1.0,29.0,148.0,83.0,2.29,2.99,0,0,USA
101.0,1.0,30.0,199.0,86.0,2.29,2.99,1,0,USA
101.0,1.0,31.0,148.0,74.0,2.79,3.19,0,0,USA
101.0,1.0,32.0,166.0,68.0,2.19,2.99,0,0,USA
101.0,1.0,33.0,125.0,100.0,2.29,2.49,0,0,USA
101.0,1.0,34.0,117.0,101.0,2.29,2.49,0,0,USA
101.0,1.0,35.0,205.0,78.0,2.19,2.99,1,0,USA
101.0,1.0,36.0,132.0,88.0,2.79,3.19,0,0,USA
101.0,1.0,37.0,106.0,117.0,2.49,2.29,0,0,USA
101.0,1.0,38.0,92.0,150.0,2.99,2.29,0,0,USA
101.0,1.0,39.0,116.0,92.0,2.29,2.49,0,0,USA
101.0,1.0,40.0,98.0,122.0,2.79,2.49,0,0,USA
101.0,1.0,41.0,170.0,67.0,2.19,2.99,1,0,USA
101.0,1.0,42.0,80.0,128.0,2.79,2.29,0,0,USA
101.0,1.0,43.0,114.0,102.0,2.99,3.19,0,0,USA
101.0,1.0,44.0,178.0,106.0,2.19,2.49,0,0,USA
101.0,1.0,45.0,120.0,105.0,2.49,2.49,0,0,USA
101.0,1.0,46.0,114.0,105.0,2.79,2.99,0,0,USA
101.0,1.0,47.0,95.0,141.0,2.99,2.29,0,0,USA
101.0,1.0,48.0,152.0,74.0,2.49,3.19,0,0,USA
101.0,1.0,49.0,142.0,74.0,2.29,3.19,0,0,USA
101.0,1.0,50.0,121.0,80.0,2.19,2.29,0,0,USA
101.0,1.0,51.0,135.0,86.0,2.79,2.99,0,0,USA
101.0,1.0,52.0,132.0,120.0,2.29,2.49,0,1,USA
101.0,2.0,1.0,149.0,79.0,2.19,2.59,0,0,USA
101.0,2.0,2.0,103.0,123.0,2.49,2.29,0,0,USA
101.0,2.0,3.0,141.0,108.0,2.29,2.59,0,1,USA
101.0,2.0,4.0,107.0,125.0,2.99,2.59,0,0,USA
101.0,2.0,5.0,116.0,90.0,2.29,2.59,0,0,USA
101.0,2.0,6.0,109.0,104.0,2.49,2.29,0,0,USA
101.0,2.0,7.0,103.0,145.0,2.49,2.49,0,1,USA
101.0,2.0,8.0,143.0,90.0,2.29,2.29,0,0,USA
101.0,2.0,9.0,86.0,126.0,2.99,2.29,0,0,USA
101.0,2.0,10.0,96.0,121.0,2.99,2.49,0,0,USA
101.0,2.0,11.0,162.0,101.0,2.99,2.99,1,0,USA
101.0,2.0,12.0,126.0,91.0,2.49,2.59,0,0,USA
101.0,2.0,13.0,137.0,66.0,2.19,2.49,0,0,USA
101.0,2.0,14.0,112.0,116.0,2.29,2.29,0,0,USA
101.0,2.0,15.0,174.0,73.0,2.19,2.99,0,0,USA
101.0,2.0,16.0,151.0,91.0,2.99,3.19,0,0,USA
101.0,2.0,17.0,128.0,94.0,2.99,2.99,0,0,USA
101.0,2.0,18.0,141.0,94.0,2.49,2.99,0,0,USA
101.0,2.0,19.0,126.0,110.0,2.99,2.59,0,0,USA
101.0,2.0,20.0,178.0,126.0,2.99,3.19,1,1,USA
101.0,2.0,21.0,105.0,159.0,2.79,2.49,0,1,USA
101.0,2.0,22.0,135.0,75.0,2.19,2.59,0,0,USA
101.0,2.0,23.0,207.0,67.0,2.19,3.19,0,0,USA
101.0,2.0,24.0,221.0,91.0,2.19,3.19,1,1,USA
101.0,2.0,25.0,175.0,73.0,2.29,3.19,0,0,USA
101.0,2.0,26.0,173.0,88.0,2.19,2.99,0,1,USA
101.0,2.0,27.0,87.0,122.0,2.99,2.49,0,0,USA
101.0,2.0,28.0,211.0,70.0,2.29,2.99,1,0,USA
101.0,2.0,29.0,121.0,78.0,2.49,2.99,0,0,USA
101.0,2.0,30.0,143.0,108.0,2.79,2.59,1,0,USA
101.0,2.0,31.0,128.0,92.0,2.79,2.99,0,0,USA
101.0,2.0,32.0,114.0,126.0,2.49,2.49,0,0,USA
101.0,2.0,33.0,154.0,109.0,2.79,2.49,1,0,USA
101.0,2.0,34.0,104.0,128.0,2.99,2.29,0,0,USA
101.0,2.0,35.0,117.0,92.0,2.19,2.29,0,0,USA
101.0,2.0,36.0,110.0,108.0,2.29,2.29,0,0,USA
101.0,2.0,37.0,138.0,80.0,2.19,2.49,0,0,USA
101.0,2.0,38.0,94.0,124.0,2.99,2.49,0,0,USA
101.0,2.0,39.0,152.0,77.0,2.49,3.19,0,0,USA
101.0,2.0,40.0,102.0,110.0,2.99,2.99,0,0,USA
101.0,2.0,41.0,128.0,98.0,2.99,3.19,0,0,USA
101.0,2.0,42.0,120.0,115.0,2.49,2.29,1,0,USA
101.0,2.0,43.0,117.0,129.0,2.19,2.29,0,1,USA
101.0,2.0,44.0,135.0,79.0,2.49,2.99,0,0,USA
101.0,2.0,45.0,122.0,99.0,2.99,3.19,0,0,USA
101.0,2.0,46.0,125.0,123.0,2.19,2.59,0,1,USA
101.0,2.0,47.0,147.0,94.0,2.99,2.49,1,0,USA
101.0,2.0,48.0,136.0,88.0,2.79,2.99,0,0,USA
101.0,2.0,49.0,121.0,63.0,2.49,2.99,0,0,USA
101.0,2.0,50.0,131.0,92.0,2.99,2.99,0,0,USA
101.0,2.0,51.0,140.0,109.0,2.99,3.19,0,0,USA
101.0,2.0,52.0,107.0,102.0,2.29,2.29,0,0,USA
102.0,1.0,1.0,74.0,136.0,2.99,2.29,0,0,USA
102.0,1.0,2.0,90.0,128.0,2.99,2.29,0,0,USA
