is_weekend,num_child,distance,rides,games,wait,clean,overall
True,0,9.844503100778013,82.0,64.0,82.0,88.0,68.0
False,1,2.72022080369803,85.0,83.0,100.0,90.0,100.0
False,3,1.878189474336132,88.0,81.0,80.0,91.0,95.0
False,0,14.211681656573443,73.0,52.0,68.0,74.0,55.0
False,1,9.362776119372354,78.0,93.0,56.0,82.0,63.0
False,2,38.41942221744825,83.0,71.0,65.0,84.0,81.0
False,5,35.146796430973396,81.0,71.0,84.0,86.0,79.0
True,0,4.64416000269283,78.0,70.0,76.0,86.0,69.0
False,1,32.51340280372035,80.0,72.0,76.0,85.0,91.0
True,3,39.22394462939154,77.0,73.0,91.0,85.0,85.0
True,2,6.092790082272126,89.0,87.0,89.0,95.0,99.0
False,3,2.05793773121326,79.0,62.0,64.0,86.0,68.0
False,3,20.017174653498632,80.0,78.0,78.0,86.0,79.0
True,0,6.088443300166313,89.0,88.0,73.0,87.0,66.0
False,3,38.78232611213436,73.0,78.0,63.0,82.0,59.0
False,2,4.882433587239747,87.0,83.0,84.0,89.0,90.0
False,1,15.736769571135628,72.0,73.0,54.0,72.0,59.0
False,1,19.712265370436683,85.0,81.0,79.0,98.0,95.0
False,0,22.685673317537226,79.0,77.0,84.0,81.0,73.0
True,0,37.407058774045815,76.0,61.0,88.0,83.0,70.0
True,4,16.70838952607334,77.0,75.0,76.0,87.0,76.0
False,4,10.670911322089038,72.0,67.0,51.0,80.0,55.0
False,1,9.058660929662386,82.0,79.0,82.0,86.0,71.0
False,0,8.92562470829469,82.0,84.0,68.0,88.0,72.0
False,0,16.969462615682296,77.0,69.0,77.0,83.0,62.0
True,4,105.94150306296301,82.0,83.0,77.0,87.0,86.0
False,2,233.29556525009605,82.0,79.0,71.0,91.0,88.0
False,2,32.31453732563887,88.0,84.0,88.0,93.0,92.0
False,0,15.110765519479804,87.0,81.0,84.0,86.0,72.0
False,3,17.051339110201504,82.0,73.0,82.0,95.0,88.0
False,0,112.88441958987595,89.0,78.0,88.0,98.0,91.0
True,2,14.324856866112953,71.0,78.0,71.0,79.0,64.0
False,2,52.92575676647944,77.0,78.0,65.0,78.0,68.0
True,2,3.7352751399915465,78.0,68.0,64.0,84.0,74.0
True,3,33.36369906378313,86.0,79.0,85.0,94.0,98.0
False,4,19.22090707352087,86.0,90.0,79.0,95.0,89.0
False,5,128.34088277353428,78.0,70.0,85.0,79.0,85.0
True,3,117.62256158185781,78.0,75.0,69.0,82.0,82.0
False,0,23.790283779470144,81.0,75.0,78.0,90.0,66.0
False,1,92.89137280288111,86.0,90.0,82.0,91.0,100.0
False,5,82.10335133241117,80.0,73.0,60.0,86.0,72.0
True,4,78.89354664546391,76.0,58.0,60.0,84.0,63.0
True,1,12.219518926515253,88.0,77.0,83.0,89.0,88.0
False,2,65.90869567122803,70.0,67.0,79.0,84.0,83.0
True,0,9.7490373769182,75.0,71.0,79.0,88.0,63.0
False,0,26.58890249249396,89.0,86.0,93.0,93.0,87.0
True,3,64.6268973018372,88.0,84.0,71.0,86.0,81.0
False,2,1.8159688884727883,81.0,50.0,77.0,80.0,72.0
False,0,8.43406624048566,76.0,61.0,48.0,73.0,42.0
False,2,3.939615463874493,77.0,63.0,73.0,83.0,70.0
True,1,71.991431201852,87.0,76.0,98.0,92.0,94.0
False,2,48.68651126792366,74.0,72.0,65.0,81.0,74.0
True,3,98.39131946980373,78.0,71.0,82.0,84.0,82.0
False,4,11.660879087579696,99.0,97.0,82.0,100.0,100.0
True,0,9.494379898206999,77.0,75.0,49.0,87.0,65.0
False,2,28.924669313972768,91.0,69.0,73.0,88.0,83.0
False,1,10.561377436993679,72.0,60.0,57.0,80.0,68.0
True,2,24.55559455050886,91.0,82.0,80.0,92.0,100.0
False,3,16.58759460216367,82.0,83.0,87.0,90.0,87.0
False,1,25.683754601603276,81.0,80.0,76.0,80.0,78.0
