cust_id,age,credit_score,email,distance_to_store,online_visits,online_trans,online_spend,store_trans,store_spend,sat_service,sat_selection
1,22.894369063095397,630.608882761678,yes,2.5824942419457204,20,3,58.4299886955371,4,140.323212664809,3.0,3.0
2,28.049943712617196,748.574644433743,yes,48.1759886536256,121,39,756.880082664258,0,0.0,3.0,3.0
3,35.879417255441396,732.545857669686,yes,1.28571235672235,39,14,250.32800570061698,0,0.0,,
4,30.5273952942594,829.588861966343,yes,5.25399208149831,1,0,0.0,2,95.91194396599279,4.0,2.0
5,38.7357467979662,733.796824963059,no,25.0446933194725,35,11,204.69331431908,0,0.0,1.0,1.0
6,42.412773175450795,685.872063599405,yes,18.4620414554326,1,1,19.01064577479,0,0.0,,
7,28.2939535270774,724.5463531007209,yes,9.344021147401302,1,1,18.7161985277576,2,63.523740870783904,3.0,3.0
8,36.490654702141704,748.5761173008141,yes,6.917498896192741,48,13,255.819182321826,4,74.98432749004,2.0,3.0
9,30.3707616002846,689.6656229925011,no,12.848213411408599,0,0,0.0,0,0.0,4.0,2.0
10,26.5899940505354,786.515807420251,no,6.6183262885331295,14,6,123.671757543265,3,103.419606204409,3.0,2.0
11,41.8358500876011,722.105592249195,no,6.63019104206416,2,1,20.253783137244803,0,0.0,3.0,2.0
12,37.4382554057361,707.2863073298129,yes,1.5079258339751003,0,0,0.0,9,453.23377803109804,,
13,35.1513571659007,745.626912587013,yes,58.604732400736395,0,0,0.0,0,0.0,,
14,31.9305424583211,732.589767500991,no,3.87974719965533,108,26,601.607697944286,3,63.6179298691634,1.0,2.0
15,29.0609259863988,738.1976478952471,yes,47.919970097670294,0,0,0.0,0,0.0,,
16,39.8453479782118,842.0465314770289,yes,13.2167309896329,1,0,0.0,2,78.3435794376876,3.0,3.0
17,36.205515679861,703.210955906208,yes,21.196848015579604,0,0,0.0,0,0.0,3.0,3.0
18,35.887182898218796,738.2717349624229,yes,2.49604784926774,33,8,181.096848930301,2,44.089131114225395,,
19,36.9424326455046,705.27722146852,yes,1.3764356516321798,16,7,149.971178867691,0,0.0,2.0,2.0
20,33.7410876527991,842.298454730607,yes,89.35825685157292,13,2,47.2255019325996,0,0.0,,
21,30.7054772959797,672.704026685405,yes,1.74589079175983,0,0,0.0,0,0.0,,
22,34.170750259908,814.852620234969,yes,23.1619758763591,24,6,122.951365725048,1,21.743896702954103,2.0,1.0
23,42.0399318486578,707.48676127112,yes,22.3670829905408,0,0,0.0,0,0.0,3.0,3.0
24,35.6287845898262,717.9137160304331,yes,22.2931006555269,14,5,92.617159028007,0,0.0,,
25,39.8798630421091,791.454404477249,yes,4.36933086354471,3,1,24.2442561547366,2,103.186335807892,3.0,2.0
26,32.2053358134362,701.221776183201,yes,4.46350363687343,83,35,706.0434609496989,3,84.0495638697969,3.0,2.0
27,42.040159072192296,723.721198279899,yes,8.24987035495894,127,49,908.089494943942,2,34.5131310014739,4.0,2.0
28,32.5110495256893,746.85904651442,yes,5.4859639544179,8,2,34.102209236472895,0,0.0,3.0,2.0
29,29.5755852485709,778.313216024749,yes,3.6482232429790495,30,13,249.33728124596698,3,212.411452469211,3.0,3.0
30,31.5500311114498,764.416811702459,yes,2.74909865573645,40,11,243.528612042746,0,0.0,4.0,4.0
31,38.2673568919934,742.031198036657,yes,1.95516491140632,0,0,0.0,4,167.42361973932898,,
32,38.0043610546979,799.4423114511701,yes,6.11113659130159,13,6,132.84267150473,0,0.0,,
33,35.200735957743795,733.4621383217551,yes,0.334653457986459,197,50,1073.63276363108,2,56.8831202448905,,
34,22.5913836428948,695.679235671785,no,4.81005925441471,4,1,17.4574415676228,1,68.4490656509428,3.0,2.0
35,45.1012780833099,778.8314169175529,yes,11.225789108564598,0,0,0.0,0,0.0,4.0,5.0
