speed,height,const,theme,rating,resp_id
70,200,Steel,Dragon,9,0
40,400,Wood,Dragon,6,0
70,300,Steel,Eagle,8,0
40,400,Wood,Dragon,7,0
50,200,Steel,Eagle,1,0
50,400,Steel,Dragon,6,0
60,400,Steel,Dragon,8,0
50,200,Wood,Eagle,1,0
40,200,Steel,Dragon,5,0
70,200,Steel,Dragon,10,0
50,300,Wood,Eagle,2,0
60,300,Steel,Dragon,8,0
60,300,Wood,Dragon,9,0
60,200,Wood,Eagle,1,0
40,300,Steel,Eagle,2,0
70,200,Steel,Eagle,5,0
70,200,Steel,Dragon,7,1
40,400,Wood,Dragon,3,1
70,300,Steel,Eagle,10,1
40,400,Wood,Dragon,1,1
50,200,Steel,Eagle,4,1
50,400,Steel,Dragon,3,1
60,400,Steel,Dragon,5,1
50,200,Wood,Eagle,1,1
40,200,Steel,Dragon,3,1
70,200,Steel,Dragon,5,1
50,300,Wood,Eagle,1,1
60,300,Steel,Dragon,4,1
60,300,Wood,Dragon,3,1
60,200,Wood,Eagle,1,1
40,300,Steel,Eagle,5,1
70,200,Steel,Eagle,5,1
70,200,Steel,Dragon,6,2
40,400,Wood,Dragon,1,2
70,300,Steel,Eagle,10,2
40,400,Wood,Dragon,2,2
50,200,Steel,Eagle,2,2
50,400,Steel,Dragon,6,2
60,400,Steel,Dragon,5,2
50,200,Wood,Eagle,1,2
40,200,Steel,Dragon,3,2
70,200,Steel,Dragon,4,2
50,300,Wood,Eagle,2,2
60,300,Steel,Dragon,1,2
60,300,Wood,Dragon,4,2
60,200,Wood,Eagle,1,2
40,300,Steel,Eagle,5,2
70,200,Steel,Eagle,7,2
70,200,Steel,Dragon,10,3
40,400,Wood,Dragon,5,3
70,300,Steel,Eagle,9,3
40,400,Wood,Dragon,5,3
50,200,Steel,Eagle,1,3
50,400,Steel,Dragon,6,3
60,400,Steel,Dragon,6,3
50,200,Wood,Eagle,3,3
40,200,Steel,Dragon,1,3
70,200,Steel,Dragon,10,3
50,300,Wood,Eagle,8,3
60,300,Steel,Dragon,7,3
60,300,Wood,Dragon,9,3
60,200,Wood,Eagle,3,3
40,300,Steel,Eagle,5,3
70,200,Steel,Eagle,6,3
70,200,Steel,Dragon,6,4
40,400,Wood,Dragon,4,4
70,300,Steel,Eagle,9,4
40,400,Wood,Dragon,5,4
50,200,Steel,Eagle,6,4
50,400,Steel,Dragon,3,4
60,400,Steel,Dragon,4,4
50,200,Wood,Eagle,6,4
40,200,Steel,Dragon,1,4
70,200,Steel,Dragon,9,4
50,300,Wood,Eagle,10,4
60,300,Steel,Dragon,6,4
60,300,Wood,Dragon,10,4
60,200,Wood,Eagle,8,4
40,300,Steel,Eagle,3,4
70,200,Steel,Eagle,6,4
70,200,Steel,Dragon,9,5
40,400,Wood,Dragon,2,5
70,300,Steel,Eagle,9,5
40,400,Wood,Dragon,2,5
50,200,Steel,Eagle,1,5
50,400,Steel,Dragon,5,5
60,400,Steel,Dragon,3,5
50,200,Wood,Eagle,6,5
40,200,Steel,Dragon,3,5
70,200,Steel,Dragon,5,5
50,300,Wood,Eagle,10,5
60,300,Steel,Dragon,9,5
60,300,Wood,Dragon,10,5
60,200,Wood,Eagle,4,5
40,300,Steel,Eagle,6,5
70,200,Steel,Eagle,7,5
70,200,Steel,Dragon,8,6
40,400,Wood,Dragon,8,6
70,300,Steel,Eagle,10,6
40,400,Wood,Dragon,6,6
50,200,Steel,Eagle,6,6
50,400,Steel,Dragon,7,6
60,400,Steel,Dragon,5,6
50,200,Wood,Eagle,5,6
40,200,Steel,Dragon,1,6
70,200,Steel,Dragon,5,6
50,300,Wood,Eagle,9,6
60,300,Steel,Dragon,3,6
60,300,Wood,Dragon,7,6
60,200,Wood,Eagle,5,6
40,300,Steel,Eagle,8,6
70,200,Steel,Eagle,9,6
70,200,Steel,Dragon,8,7
40,400,Wood,Dragon,5,7
70,300,Steel,Eagle,10,7
40,400,Wood,Dragon,10,7
50,200,Steel,Eagle,4,7
50,400,Steel,Dragon,1,7
60,400,Steel,Dragon,5,7
50,200,Wood,Eagle,8,7
40,200,Steel,Dragon,3,7
70,200,Steel,Dragon,8,7
50,300,Wood,Eagle,10,7
60,300,Steel,Dragon,3,7
60,300,Wood,Dragon,10,7
60,200,Wood,Eagle,7,7
40,300,Steel,Eagle,4,7
70,200,Steel,Eagle,7,7
70,200,Steel,Dragon,8,8
40,400,Wood,Dragon,1,8
70,300,Steel,Eagle,10,8
40,400,Wood,Dragon,1,8
50,200,Steel,Eagle,2,8
50,400,Steel,Dragon,3,8
60,400,Steel,Dragon,7,8
50,200,Wood,Eagle,3,8
40,200,Steel,Dragon,3,8
70,200,Steel,Dragon,7,8
50,300,Wood,Eagle,3,8
60,300,Steel,Dragon,7,8
60,300,Wood,Dragon,5,8
60,200,Wood,Eagle,2,8
40,300,Steel,Eagle,7,8
70,200,Steel,Eagle,5,8
70,200,Steel,Dragon,7,9
40,400,Wood,Dragon,4,9
70,300,Steel,Eagle,10,9
40,400,Wood,Dragon,5,9
50,200,Steel,Eagle,4,9
50,400,Steel,Dragon,5,9
60,400,Steel,Dragon,6,9
50,200,Wood,Eagle,1,9
40,200,Steel,Dragon,3,9
70,200,Steel,Dragon,10,9
50,300,Wood,Eagle,6,9
60,300,Steel,Dragon,9,9
60,300,Wood,Dragon,10,9
60,200,Wood,Eagle,3,9
40,300,Steel,Eagle,5,9
70,200,Steel,Eagle,8,9
70,200,Steel,Dragon,7,10
40,400,Wood,Dragon,4,10
70,300,Steel,Eagle,10,10
40,400,Wood,Dragon,7,10
50,200,Steel,Eagle,1,10
50,400,Steel,Dragon,9,10
60,400,Steel,Dragon,8,10
50,200,Wood,Eagle,4,10
40,200,Steel,Dragon,2,10
70,200,Steel,Dragon,6,10
50,300,Wood,Eagle,5,10
60,300,Steel,Dragon,7,10
60,300,Wood,Dragon,8,10
60,200,Wood,Eagle,5,10
40,300,Steel,Eagle,4,10
70,200,Steel,Eagle,6,10
70,200,Steel,Dragon,5,11
40,400,Wood,Dragon,1,11
70,300,Steel,Eagle,10,11
40,400,Wood,Dragon,2,11
50,200,Steel,Eagle,4,11
50,400,Steel,Dragon,6,11
60,400,Steel,Dragon,5,11
50,200,Wood,Eagle,2,11
40,200,Steel,Dragon,1,11
70,200,Steel,Dragon,10,11
50,300,Wood,Eagle,4,11
60,300,Steel,Dragon,8,11
60,300,Wood,Dragon,4,11
60,200,Wood,Eagle,5,11
40,300,Steel,Eagle,3,11
70,200,Steel,Eagle,9,11
70,200,Steel,Dragon,8,12
40,400,Wood,Dragon,5,12
70,300,Steel,Eagle,10,12
40,400,Wood,Dragon,2,12
50,200,Steel,Eagle,1,12
50,400,Steel,Dragon,6,12
60,400,Steel,Dragon,7,12
50,200,Wood,Eagle,1,12
40,200,Steel,Dragon,1,12
70,200,Steel,Dragon,5,12
50,300,Wood,Eagle,6,12
60,300,Steel,Dragon,8,12
60,300,Wood,Dragon,4,12
60,200,Wood,Eagle,4,12
40,300,Steel,Eagle,2,12
70,200,Steel,Eagle,5,12
70,200,Steel,Dragon,8,13
40,400,Wood,Dragon,9,13
70,300,Steel,Eagle,9,13
40,400,Wood,Dragon,9,13
50,200,Steel,Eagle,1,13
50,400,Steel,Dragon,8,13
60,400,Steel,Dragon,5,13
50,200,Wood,Eagle,3,13
40,200,Steel,Dragon,2,13
70,200,Steel,Dragon,10,13
50,300,Wood,Eagle,5,13
60,300,Steel,Dragon,6,13
60,300,Wood,Dragon,8,13
60,200,Wood,Eagle,5,13
40,300,Steel,Eagle,2,13
70,200,Steel,Eagle,5,13
70,200,Steel,Dragon,6,14
40,400,Wood,Dragon,3,14
70,300,Steel,Eagle,10,14
40,400,Wood,Dragon,6,14
50,200,Steel,Eagle,3,14
50,400,Steel,Dragon,5,14
60,400,Steel,Dragon,5,14
50,200,Wood,Eagle,3,14
40,200,Steel,Dragon,4,14
70,200,Steel,Dragon,7,14
50,300,Wood,Eagle,4,14
60,300,Steel,Dragon,4,14
60,300,Wood,Dragon,9,14
60,200,Wood,Eagle,1,14
40,300,Steel,Eagle,1,14
70,200,Steel,Eagle,5,14
70,200,Steel,Dragon,9,15
40,400,Wood,Dragon,5,15
70,300,Steel,Eagle,10,15
40,400,Wood,Dragon,4,15
50,200,Steel,Eagle,1,15
50,400,Steel,Dragon,6,15
60,400,Steel,Dragon,6,15
50,200,Wood,Eagle,1,15
40,200,Steel,Dragon,6,15
70,200,Steel,Dragon,9,15
50,300,Wood,Eagle,3,15
60,300,Steel,Dragon,8,15
60,300,Wood,Dragon,7,15
60,200,Wood,Eagle,4,15
40,300,Steel,Eagle,2,15
70,200,Steel,Eagle,6,15
70,200,Steel,Dragon,9,16
40,400,Wood,Dragon,7,16
70,300,Steel,Eagle,10,16
40,400,Wood,Dragon,8,16
50,200,Steel,Eagle,4,16
50,400,Steel,Dragon,6,16
60,400,Steel,Dragon,6,16
50,200,Wood,Eagle,1,16
40,200,Steel,Dragon,4,16
70,200,Steel,Dragon,7,16
50,300,Wood,Eagle,9,16
60,300,Steel,Dragon,10,16
60,300,Wood,Dragon,10,16
60,200,Wood,Eagle,3,16
40,300,Steel,Eagle,9,16
70,200,Steel,Eagle,6,16
70,200,Steel,Dragon,7,17
40,400,Wood,Dragon,7,17
70,300,Steel,Eagle,10,17
40,400,Wood,Dragon,10,17
50,200,Steel,Eagle,4,17
50,400,Steel,Dragon,8,17
60,400,Steel,Dragon,7,17
50,200,Wood,Eagle,1,17
40,200,Steel,Dragon,4,17
70,200,Steel,Dragon,7,17
50,300,Wood,Eagle,4,17
60,300,Steel,Dragon,7,17
60,300,Wood,Dragon,8,17
60,200,Wood,Eagle,4,17
40,300,Steel,Eagle,1,17
70,200,Steel,Eagle,10,17
70,200,Steel,Dragon,5,18
40,400,Wood,Dragon,6,18
70,300,Steel,Eagle,10,18
40,400,Wood,Dragon,3,18
50,200,Steel,Eagle,1,18
50,400,Steel,Dragon,6,18
60,400,Steel,Dragon,6,18
50,200,Wood,Eagle,3,18
40,200,Steel,Dragon,4,18
70,200,Steel,Dragon,10,18
50,300,Wood,Eagle,6,18
60,300,Steel,Dragon,10,18
60,300,Wood,Dragon,8,18
60,200,Wood,Eagle,3,18
40,300,Steel,Eagle,4,18
70,200,Steel,Eagle,10,18
70,200,Steel,Dragon,3,19
40,400,Wood,Dragon,4,19
70,300,Steel,Eagle,10,19
40,400,Wood,Dragon,2,19
50,200,Steel,Eagle,6,19
50,400,Steel,Dragon,7,19
60,400,Steel,Dragon,6,19
50,200,Wood,Eagle,3,19
40,200,Steel,Dragon,1,19
70,200,Steel,Dragon,6,19
50,300,Wood,Eagle,6,19
60,300,Steel,Dragon,10,19
60,300,Wood,Dragon,4,19
60,200,Wood,Eagle,5,19
40,300,Steel,Eagle,5,19
70,200,Steel,Eagle,8,19
70,200,Steel,Dragon,5,20
40,400,Wood,Dragon,4,20
70,300,Steel,Eagle,10,20
40,400,Wood,Dragon,4,20
50,200,Steel,Eagle,2,20
50,400,Steel,Dragon,3,20
60,400,Steel,Dragon,6,20
50,200,Wood,Eagle,2,20
40,200,Steel,Dragon,3,20
70,200,Steel,Dragon,10,20
50,300,Wood,Eagle,4,20
60,300,Steel,Dragon,9,20
60,300,Wood,Dragon,7,20
60,200,Wood,Eagle,1,20
40,300,Steel,Eagle,6,20
70,200,Steel,Eagle,8,20
70,200,Steel,Dragon,9,21
40,400,Wood,Dragon,4,21
70,300,Steel,Eagle,10,21
40,400,Wood,Dragon,2,21
50,200,Steel,Eagle,2,21
50,400,Steel,Dragon,3,21
60,400,Steel,Dragon,8,21
50,200,Wood,Eagle,1,21
40,200,Steel,Dragon,3,21
70,200,Steel,Dragon,7,21
50,300,Wood,Eagle,6,21
60,300,Steel,Dragon,7,21
60,300,Wood,Dragon,5,21
60,200,Wood,Eagle,4,21
40,300,Steel,Eagle,5,21
70,200,Steel,Eagle,9,21
70,200,Steel,Dragon,7,22
40,400,Wood,Dragon,2,22
70,300,Steel,Eagle,10,22
40,400,Wood,Dragon,1,22
50,200,Steel,Eagle,2,22
50,400,Steel,Dragon,3,22
60,400,Steel,Dragon,2,22
50,200,Wood,Eagle,2,22
40,200,Steel,Dragon,2,22
70,200,Steel,Dragon,9,22
50,300,Wood,Eagle,5,22
60,300,Steel,Dragon,6,22
60,300,Wood,Dragon,5,22
60,200,Wood,Eagle,4,22
40,300,Steel,Eagle,7,22
70,200,Steel,Eagle,7,22
70,200,Steel,Dragon,9,23
40,400,Wood,Dragon,2,23
70,300,Steel,Eagle,10,23
40,400,Wood,Dragon,5,23
50,200,Steel,Eagle,1,23
50,400,Steel,Dragon,1,23
